"LineNumber","Resource","File","CodeLineNumber","CheckID","Guide","SuppressComment","Status","Description"
"14","","\app-web.tf","1","CKV_AZURE_214","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-214","","","Ensure App Service is set to be always on"
"19","","\app-web.tf","1","CKV_AZURE_65","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages","","","Ensure that App service enables detailed error messages"
"24","","\app-web.tf","1","CKV_AZURE_57","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-cors-disallows-every-resource-to-access-app-services","","","Ensure that CORS disallows every resource to access app services"
"29","","\app-web.tf","1","CKV_AZURE_66","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing","","","Ensure that App service enables failed request tracing"
"34","","\app-web.tf","1","CKV_AZURE_63","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-http-logging","","","Ensure that App service enables HTTP logging"
"39","","\app-web.tf","1","CKV_AZURE_18","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-8","","","Ensure that 'HTTP Version' is the latest if used to run the web app"
"44","","\app-web.tf","1","CKV_AZURE_14","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-5","","","Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service"
"49","","\app-web.tf","1","CKV_AZURE_16","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azr-iam-1","","","Ensure that Register with Azure Active Directory is enabled on App Service"
"54","","\app-web.tf","1","CKV_AZURE_71","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-managed-identity-provider-is-enabled-for-app-services","","","Ensure that Managed identity provider is enabled for app services"
"59","","\app-web.tf","1","CKV_AZURE_15","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-6","","","Ensure web app is using the latest version of TLS encryption"
"64","","\app-web.tf","1","CKV_AZURE_72","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-remote-debugging-is-not-enabled-for-app-services","","","Ensure that remote debugging is not enabled for app services"
"69","","\app-web.tf","1","CKV_AZURE_72","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-remote-debugging-is-not-enabled-for-app-services","","","Ensure that remote debugging is not enabled for app services"
"74","","\app-web.tf","1","CKV_AZURE_153","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-azure-web-app-redirects-all-http-traffic-to-https-in-azure-app-service-slot","","","Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service Slot"
"79","","\app-web.tf","1","CKV_TF_2","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/supply-chain-policies/terraform-policies/ensure-terraform-module-sources-use-tag","","","Ensure Terraform module sources use a tag with a version number"
"83","","\database.tf","1","CKV_AZURE_52","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-mssql-is-using-the-latest-version-of-tls-encryption","","","Ensure MSSQL is using the latest version of TLS encryption"
"87","","\database.tf","69","CKV_AZURE_114","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-secrets-have-content-type-set","","","Ensure that key vault secrets have "
"91","","\database.tf","88","CKV_AZURE_114","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-secrets-have-content-type-set","","","Ensure that key vault secrets have "
"95","","\main.tf","1","CKV_TF_2","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/supply-chain-policies/terraform-policies/ensure-terraform-module-sources-use-tag","","","Ensure Terraform module sources use a tag with a version number"
"99","","\main.tf","16","CKV_AZURE_110","https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-enables-purge-protection","","","Ensure that key vault enables purge protection"
